provinceName,name,visitorCount,visitorRatio
강원특별자치도,춘천시,30211713,10.8
강원특별자치도,원주시,35521878,12.7
강원특별자치도,강릉시,34869555,12.4
강원특별자치도,동해시,12750574,4.5
강원특별자치도,태백시,5471193,1.9
강원특별자치도,속초시,26339565,9.4
강원특별자치도,삼척시,12111344,4.3
강원특별자치도,홍천군,22399769,8.0
강원특별자치도,횡성군,11436964,4.1
강원특별자치도,영월군,7858162,2.8
강원특별자치도,평창군,17412885,6.2
강원특별자치도,정선군,10118378,3.6
강원특별자치도,철원군,6734028,2.4
강원특별자치도,화천군,4270448,1.5
강원특별자치도,양구군,2987184,1.1
강원특별자치도,인제군,11297100,4.0
강원특별자치도,고성군,13157718,4.7
강원특별자치도,양양군,15679426,5.6
경기도,수원시,201346145,10.5
경기도,성남시,153910754,8.0
경기도,의정부시,45301235,2.4
경기도,안양시,73263323,3.8
경기도,부천시,108351453,5.6
경기도,광명시,45909440,2.4
경기도,평택시,56856376,3.0
경기도,동두천시,10275016,0.5
경기도,안산시,82450837,4.3
경기도,고양시,147475044,7.7
경기도,과천시,22492890,1.2
경기도,구리시,49458042,2.6
경기도,남양주시,72532008,3.8
경기도,오산시,32418470,1.7
경기도,시흥시,57218833,3.0
경기도,군포시,26593682,1.4
경기도,의왕시,31647738,1.6
경기도,하남시,59903658,3.1
경기도,용인시,147042511,7.6
경기도,파주시,54224180,2.8
경기도,이천시,37587102,2.0
경기도,안성시,37529482,2.0
경기도,김포시,53241682,2.8
경기도,화성시,114433417,6.0
경기도,광주시,47467959,2.5
경기도,양주시,34668550,1.8
경기도,포천시,29161290,1.5
경기도,여주시,24936212,1.3
경기도,연천군,9325757,0.5
경기도,가평군,25953014,1.4
경기도,양평군,29433236,1.5
경상남도,창원시,120560475,31.1
경상남도,진주시,23783700,6.1
경상남도,통영시,16283516,4.2
경상남도,사천시,15368762,4.0
경상남도,김해시,48226482,12.4
경상남도,밀양시,16177172,4.2
경상남도,거제시,23404696,6.0
경상남도,양산시,38711494,10.0
경상남도,의령군,4700798,1.2
경상남도,함안군,11857146,3.1
경상남도,창녕군,10435005,2.7
경상남도,고성군,10927276,2.8
경상남도,남해군,9255096,2.4
경상남도,하동군,8015934,2.1
경상남도,산청군,7594654,2.0
경상남도,함양군,8637202,2.2
경상남도,거창군,7010549,1.8
경상남도,합천군,7057211,1.8
경상북도,포항시,57188344,16.4
경상북도,경주시,51405214,14.8
경상북도,김천시,15833587,4.6
경상북도,안동시,18304758,5.3
경상북도,구미시,27800780,8.0
경상북도,영주시,9557534,2.7
경상북도,영천시,13992794,4.0
경상북도,상주시,14458808,4.2
경상북도,문경시,12660960,3.6
경상북도,경산시,31907750,9.2
경상북도,의성군,6933290,2.0
경상북도,청송군,5056590,1.5
경상북도,영양군,1852218,0.5
경상북도,영덕군,10821307,3.1
경상북도,청도군,10577763,3.0
경상북도,고령군,6503644,1.9
경상북도,성주군,7923328,2.3
경상북도,칠곡군,23076319,6.6
경상북도,예천군,7132195,2.1
경상북도,봉화군,4730590,1.4
경상북도,울진군,8659878,2.5
경상북도,울릉군,1438664,0.4
광주광역시,동구,35778813,16.4
광주광역시,서구,57302850,26.3
광주광역시,남구,21410669,9.8
광주광역시,북구,52377640,24.1
광주광역시,광산구,50891813,23.4
대구광역시,중구,71400462,18.1
대구광역시,동구,67915004,17.2
대구광역시,서구,23124426,5.9
대구광역시,남구,27868396,7.1
대구광역시,북구,55105502,13.9
대구광역시,수성구,53205712,13.5
대구광역시,달서구,57096490,14.4
대구광역시,달성군,31555244,8.0
대구광역시,군위군,7895184,2.0
대전광역시,동구,44325466,17.4
대전광역시,중구,50316368,19.7
대전광역시,서구,66669676,26.1
대전광역시,유성구,65283544,25.6
대전광역시,대덕구,28660359,11.2
부산광역시,중구,41219524,6.6
부산광역시,서구,21831064,3.5
부산광역시,동구,39311734,6.3
부산광역시,영도구,19215350,3.1
부산광역시,부산진구,77375669,12.4
부산광역시,동래구,43106868,6.9
부산광역시,남구,33245034,5.3
부산광역시,북구,25574770,4.1
부산광역시,해운대구,73720227,11.8
부산광역시,사하구,25627990,4.1
부산광역시,금정구,31397216,5.0
부산광역시,강서구,45671686,7.3
부산광역시,연제구,33119012,5.3
부산광역시,수영구,42826606,6.8
부산광역시,사상구,29958632,4.8
부산광역시,기장군,42653443,6.8
서울특별시,종로구,153095408,6.8
서울특별시,중구,152684301,6.7
서울특별시,용산구,121841598,5.4
서울특별시,성동구,81294790,3.6
서울특별시,광진구,77462476,3.4
서울특별시,동대문구,60311534,2.7
서울특별시,중랑구,37952628,1.7
서울특별시,성북구,63087140,2.8
서울특별시,강북구,35499034,1.6
서울특별시,도봉구,35141208,1.6
서울특별시,노원구,63218120,2.8
서울특별시,은평구,38085828,1.7
서울특별시,서대문구,92934170,4.1
서울특별시,마포구,126291949,5.6
서울특별시,양천구,42280060,1.9
서울특별시,강서구,98803198,4.4
서울특별시,구로구,69252824,3.1
서울특별시,금천구,31268010,1.4
서울특별시,영등포구,123311002,5.4
서울특별시,동작구,69613131,3.1
서울특별시,관악구,71103669,3.1
서울특별시,서초구,195300014,8.6
서울특별시,강남구,230815767,10.2
서울특별시,송파구,138215406,6.1
서울특별시,강동구,57875923,2.6
세종특별자치시,세종특별자치시,34314752,100.0
울산광역시,중구,24062322,15.8
울산광역시,남구,49381682,32.5
울산광역시,동구,13923304,9.2
울산광역시,북구,25440268,16.7
울산광역시,울주군,39355078,25.9
인천광역시,중구,106619986,24.0
인천광역시,동구,9571373,2.2
인천광역시,미추홀구,47432833,10.7
인천광역시,연수구,51526870,11.6
인천광역시,남동구,59334286,13.3
인천광역시,부평구,50883441,11.4
인천광역시,계양구,33135792,7.4
인천광역시,서구,61767402,13.9
인천광역시,강화군,17563886,3.9
인천광역시,옹진군,6961906,1.6
전라남도,목포시,28030261,10.6
전라남도,여수시,26589966,10.0
전라남도,순천시,28298480,10.7
전라남도,나주시,17193323,6.5
전라남도,광양시,14928638,5.6
전라남도,담양군,16320868,6.2
전라남도,곡성군,5465670,2.1
전라남도,구례군,6585257,2.5
전라남도,고흥군,7076220,2.7
전라남도,보성군,7317272,2.8
전라남도,화순군,13234344,5.0
전라남도,장흥군,5541428,2.1
전라남도,강진군,6093122,2.3
전라남도,해남군,9848632,3.7
전라남도,영암군,10927882,4.1
전라남도,무안군,17260901,6.5
전라남도,함평군,6161946,2.3
전라남도,영광군,7344340,2.8
전라남도,장성군,10839412,4.1
전라남도,완도군,6941686,2.6
전라남도,진도군,5472775,2.1
전라남도,신안군,7577622,2.9
전북특별자치도,전주시,78408340,32.1
전북특별자치도,군산시,27321406,11.2
전북특별자치도,익산시,27274611,11.2
전북특별자치도,정읍시,11882804,4.9
전북특별자치도,남원시,10811066,4.4
전북특별자치도,김제시,13181511,5.4
전북특별자치도,완주군,23850788,9.8
전북특별자치도,진안군,5062928,2.1
전북특별자치도,무주군,8357566,3.4
전북특별자치도,장수군,2752312,1.1
전북특별자치도,임실군,9353442,3.8
전북특별자치도,순창군,5051760,2.1
전북특별자치도,고창군,9789983,4.0
전북특별자치도,부안군,10965112,4.5
제주특별자치도,제주시,60693356,57.3
제주특별자치도,서귀포시,45295940,42.7
충청남도,천안시,87447644,26.9
충청남도,공주시,26407171,8.1
충청남도,보령시,17717752,5.4
충청남도,아산시,42789842,13.2
충청남도,서산시,18484196,5.7
충청남도,논산시,17437987,5.4
충청남도,계룡시,5482544,1.7
충청남도,당진시,22494392,6.9
충청남도,금산군,10392176,3.2
충청남도,부여군,11769807,3.6
충청남도,서천군,11073394,3.4
충청남도,청양군,5056135,1.6
충청남도,홍성군,13590010,4.2
충청남도,예산군,16840344,5.2
충청남도,태안군,18407512,5.7
충청북도,청주시,121762396,47.0
충청북도,충주시,31242480,12.1
충청북도,제천시,16099552,6.2
충청북도,보은군,9002486,3.5
충청북도,옥천군,12514418,4.8
충청북도,영동군,6954311,2.7
충청북도,증평군,6226591,2.4
충청북도,진천군,14304398,5.5
충청북도,괴산군,11652582,4.5
충청북도,음성군,19672860,7.6
충청북도,단양군,9524078,3.7
