관광지ID,관광지명,분류,현지인순위,외지인순위,현지인점수,외지인점수,추천점수,전국추천순위,원본파일
9c2022d01f26a751db23485517773617,오남체육문화센터,기타레저스포츠,11.0,,95.0,,95.0,1,20260913004302_남양주시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
114424b482e73275af7f993771c02617,김천시평생교육원,체험관광기타,13.0,,94.0,,94.0,2,20260913180604_김천시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
1b36ea1c9b7a1c3ad668b8bb5df7963f,오봉저수지,자연경관(하천/해양),14.0,,93.5,,93.5,3,강원20260913024754_강릉시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
c41111faf8049f4d0939e036e7b5d099,고양시 일산서구 가좌동 가좌마을,역사유적지,17.0,,92.0,,92.0,4,20260913003004_고양시+일산서구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
ac168894d4bdf5bd075039fc441c1efd,서귀포향토오일시장,시장,18.0,,91.5,,91.5,5,제주20260913174459_서귀포시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
72d0e591eb92e0ce32c46e78aeb342ec,송악문화스포츠센터,기타레저스포츠,20.0,,90.5,,90.5,6,20260913022714_당진시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
b8e987ef3180c904e2b10d4dba913d5a,김포그린학교,체험관광기타,21.0,,90.0,,90.0,7,20260913004107_김포시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
07443763d72e864273cbeb156cd1f295,엘리트포크,시장,21.0,,90.0,,90.0,7,대전20260913020310_중구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
0a9c2b2d9038614ea5639839ec790106,흥해복합커뮤니티센터,기타문화관광지,21.0,,90.0,,90.0,7,20260913183943_포항시+북구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
9c13e2ddae4d240636857e90de2f9a6d,백룡사,종교성지,22.0,,89.5,,89.5,10,부산20260913004032_수영구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
ed0ed9966442dab1aa6b5093910f9682,양촌파크골프장,육상레저스포츠,22.0,,89.5,,89.5,10,20260913004107_김포시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
261785d619e1d33c60ec40eba2969c73,오산시서동아이사랑놀이터,테마공원,22.0,,89.5,,89.5,10,20260913012748_오산시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
074cc08ee25d297145818133548aa39f,성산공원,도시공원,23.0,,89.0,,89.0,13,20260913173746_여수시_202507-202606_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
eb28c1f0924d6be168a311e0c4ee36b6,평오근린공원,도시공원,23.0,,89.0,,89.0,13,대구20260913010423_서구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
11f4fe4c6798e6ec6c3f5aa25666f1c4,학골공원,도시공원,23.0,,89.0,,89.0,13,전북20260913023447_완주군_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
6a58a5f30ae43980ad2957a164cec3e0,군산항1부두,자연경관(하천/해양),24.0,,88.5,,88.5,17,전북20260913022338_군산시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
7918c8f1ce68ed714a737abdc6e9c8a8,김영관센터,복합관광시설,24.0,,88.5,,88.5,17,제주20260913174459_서귀포시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
9c8a0b5416847842fefbd77c6b04de98,독바위공원,도시공원,24.0,,88.5,,88.5,17,20260913011716_양주시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
25e9d5e51100607c4c95f250b66a40e4,아레나수영장,테마공원,24.0,,88.5,,88.5,17,강원20260913024754_강릉시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
3d7266ce4875c05b6c210946744af622,포르모큐브,쇼핑몰,24.0,,88.5,,88.5,17,20260913172831_목포시_202507-202606_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
502760369b9076f6176559b7bb9ca47b,폭스존광주점,쇼핑몰,24.0,,88.5,,88.5,17,광주20260913014658_광산구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
6b9ec9921147068b8d196e7d51b025c7,한민쇼핑상가,쇼핑몰,24.0,,88.5,,88.5,17,대전20260913015720_서구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
f34be83e1f2422b753cad93326c146d1,대산수산,농/산/어촌체험,25.0,,88.0,,88.0,24,경남20260913182340_함안군_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
df43baa7147bba1a89a3d960936f43c7,오산시평생학습관,체험관광기타,25.0,,88.0,,88.0,24,20260913012748_오산시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
f4ae90d2478956ed70ef59a081ef4925,현대코아,쇼핑몰,25.0,,88.0,,88.0,24,전북20260913022338_군산시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
4303fce098e39d1b70e94599e3d58841,롯데시네마경주황성,공연시설,26.0,,87.5,,87.5,29,20260913180126_경주시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
51b38cf9bed7159a3ea521f0af5d67ff,롯데시네마군산나운,공연시설,26.0,,87.5,,87.5,29,전북20260913022338_군산시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
d9540859233f2e38e874ced67b03df17,김포시 대곶면 수안마을,역사유적지,27.0,,87.0,,87.0,31,20260913004107_김포시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
b437ea0b5934e917becb934a48eec14f,대전온라인학교,체험관광기타,27.0,,87.0,,87.0,31,대전20260913015415_대덕구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
3a65bf14c7fef8e9dc0f37f2713db698,세광사,종교성지,27.0,,87.0,,87.0,31,20260913011716_양주시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
b09bba9c7c6bde427475af64a114525f,수영구평생학습관,체험관광기타,27.0,,87.0,,87.0,31,부산20260913004032_수영구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
c372907eba6c0150004b560f8a3d10f7,영운동어울림센터,기타문화관광지,27.0,,87.0,,87.0,31,20260913020849_청주시+상당구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
e635bab05c6e99dd5d211360c7211ac0,영종시네마,공연시설,27.0,,87.0,,87.0,31,인천20260913013438_영종구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
3090b70d78f77d70d34a27ac4f1c8974,원통체육문화센터,기타문화관광지,28.0,,86.5,,86.5,37,강원20260913172731_인제군_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
dc6aa6940cae5330f5d3fd09e2e97b50,헬로방방양주점,테마공원,28.0,,86.5,,86.5,37,20260913011716_양주시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
ce4a8df8dc836a5316e8f4eea4cc6d61,도담도담장난감월드연희점,테마공원,29.0,,86.0,,86.0,39,인천20260913013117_서해구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
a293389fdca177d6bccd97ffaeecbaca,미라벨,호스텔,29.0,,86.0,,86.0,39,대구20260913005417_남구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
5ac41f0a952a23a5fd71ca80c6928594,장도파크골프장,육상레저스포츠,29.0,,86.0,,86.0,39,20260913173746_여수시_202507-202606_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
ddaaef2ec42319873ddef96dec1de63d,점핑몬스터천안점,테마공원,29.0,,86.0,,86.0,39,20260913024146_천안시+서북구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
a7fba3e507c88da9360378761cbe46f6,능곡어울림센터,기타문화관광지,30.0,,85.5,,85.5,44,20260913010622_시흥시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
58d321f2c842f477982aaf3b91d55d94,방아다리공원,도시공원,30.0,,85.5,,85.5,44,20260913024146_천안시+서북구_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
24bf73f7615c0f7ea6c078a080a24c02,생말파크골프장,육상레저스포츠,30.0,,85.5,,85.5,44,전북20260913022338_군산시_202509-202608_데이터랩_다운로드_인기관광지_현지인외지인_통합.csv
