place_id,place_type,name,latitude,longitude,road_address,jibun_address
MKT000001,MARKET,성정시장,36.81267105,127.1392027,충청남도 천안시 서북구 양지21길 31,충청남도 천안시 서북구 성정동 736-7
MKT000002,MARKET,일동전통시장,37.95978103,127.3194792,경기도 포천시 일동면 화동로 1090-14,경기도 포천시 일동면 기산리 94-10
MKT000003,MARKET,운천전통시장,38.0899666,127.2722253,경기도 포천시 영북면 영북로 177번길 25,경기도 포천시 영북면 운천리 513-15
MKT000004,MARKET,통복시장,36.99782533,127.0850763,경기도 평택시 통복시장로25번길 10,경기도 평택시 통복동 70-29
MKT000005,MARKET,송탄시장,37.08146214,127.0567273,경기도 평택시 탄현로346번길 38,경기도 평택시 지산동 754-28
MKT000006,MARKET,안중시장,36.98766055,126.9276616,경기도 평택시 안중읍 안현로서3길 34,경기도 평택시 안중읍 안중리 269-3
MKT000007,MARKET,평택국제중앙시장,37.07987834,127.0521939,경기도 평택시 중앙시장로 16,경기도 평택시 신장동 317-70
MKT000008,MARKET,서정리시장,37.05742213,127.0555064,경기도 평택시 서정역로 37,경기도 평택시 서정동 328-35
MKT000009,MARKET,봉일천시장,37.74353235,126.8078457,경기도 파주시 조리읍 봉천로 33-1,경기도 파주시 조리읍 봉일천리 168-4
MKT000010,MARKET,전주신중앙시장(신중앙시장),35.8241473,127.1434872,전북특별차치도 전주시 완산구 태평5길 33,전북특별차치도 전주시 완산구 태평동 41-5
MKT000011,MARKET,모래내시장(전주),35.833574,127.1438694,전북특별차치도 전주시 덕진구 모래내4길 8-8,전북특별차치도 전주시 덕진구 인후동2가 203-10
MKT000012,MARKET,금촌명동로시장,37.76330134,126.773362,경기도 파주시 명동길 53,경기도 파주시 금촌동 323-1
MKT000013,MARKET,금촌문화로시장,37.76225007,126.7748519,경기도 파주시 문화로 89-1,경기도 파주시 금촌동 66-4
MKT000014,MARKET,석바위시장,37.46015327,126.6927408,인천광역시 미추홀구 경인로 485번길 17-1,인천광역시 미추홀구 주안동 922-6
MKT000015,MARKET,용현시장,37.45756673,126.6503669,인천광역시 미추홀구 용삼길 13,인천광역시 미추홀구 용현동 459-92
MKT000016,MARKET,장호원전통시장,37.11809055,127.631251,경기도 이천시 장호원읍 장감로77번길 14,경기도 이천시 장호원읍 장호원리 350
MKT000017,MARKET,사기막골도자기시장,37.29483104,127.4119796,경기도 이천시 경충대로2993번길 24,경기도 이천시 사음동 536
MKT000018,MARKET,관고전통시장,37.2808079,127.4403637,경기도 이천시 중리천로 31번길 22,경기도 이천시 관고동 10-13
MKT000019,MARKET,의정부제일시장,37.74011951,127.0500672,경기도 의정부시 태평로 73번길 20,경기도 의정부시 의정부동 160
MKT000020,MARKET,의정부청과야채시장,37.7389705273209,127.052296568807,경기도 의정부시 시민로 157번길,
MKT000021,MARKET,의정부시장,37.73944331,127.0511786,경기도 의정부시 시민로143번길 40,경기도 의정부시 의정부동 148-5
MKT000022,MARKET,의왕도깨비시장,37.3194783,126.9507208,경기도 의왕시 부곡시장길 18,경기도 의왕시 삼동 192-554
MKT000023,MARKET,신정상가시장,35.54197244,129.3090699,울산광역시 남구 중앙로241번길 14-1,울산광역시 남구 신정동 634-10
MKT000024,MARKET,죽전로데오상점가시장,37.32876491,127.1080484,경기도 용인시 수지구 용구대로 2725-1,경기도 용인시 수지구 죽전동 1003-53
MKT000025,MARKET,오색시장,37.15133204,127.0709405,경기도 오산시 오산로 272번길 21,경기도 오산시 오산동 853-27
MKT000026,MARKET,전곡전통시장,38.02715221,127.0681662,경기도 연천군 전곡읍 전곡로172번길 4-15,경기도 연천군 전곡읍 전곡리 479-30
MKT000027,MARKET,여주한글시장(여주중앙로상점가),37.29755162,127.6342927,경기도 여주시 세종로14번길 24-1,경기도 여주시 하동 268-4
MKT000028,MARKET,용문천년시장,37.48396864,127.5947554,경기도 양평군 용문면 용문시장2길 11,경기도 양평군 용문면 다문리 307-5
MKT000029,MARKET,상계중앙시장,37.65994072,127.0698633,서울특별시 노원구 상계로 27길 32,서울특별시 노원구 상계동 389-641
MKT000030,MARKET,양수리전통시장(양평양수리시장),37.54506648,127.3197944,경기도 양평군 양서면 양수로150번길 3-15,경기도 양평군 양서면 양수리 556-3
MKT000031,MARKET,기장시장,35.24369155,129.2148692,부산광역시 기장군 기장읍 읍내로104번길 16,부산광역시 기장군 기장읍 대라리 72-1
MKT000032,MARKET,중부농수산물시장,37.39590837,126.9256223,경기도 안양시 만안구 안양로248번길23,경기도 안양시 만안구 안양동 622-337
MKT000033,MARKET,안양중앙인정시장,37.39648106,126.9195685,경기도 안양시 만안구 냉천로185번길 8,경기도 안양시 만안구 안양동 711-280
MKT000034,MARKET,육동시장,37.39058613,126.9302236,경기도 안양시 만안구 수리산로 47번길 38,경기도 안양시 만안구 안양동 434-3
MKT000035,MARKET,석수시장,37.4128602,126.9079728,경기도 안양시 만안구 석천로 171번길 20,경기도 안양시 만안구 석수동 287
MKT000036,MARKET,왜관시장,35.9951519,128.39825,경상북도 칠곡군 왜관읍 시장2길 9,경상북도 칠곡군 왜관읍 왜관리 211-187
MKT000037,MARKET,중앙시장,37.39757136,126.919669,경기도 안양시 만안구 냉천로 196,경기도 안양시 만안구 안양동 676-44
MKT000038,MARKET,안양남부시장,37.39593498,126.924956,경기도 안양시 만안구 장내로 140번길 51,경기도 안양시 만안구 안양동 622-378
MKT000039,MARKET,안양호계종합시장,37.37338078,126.9582499,경기도 안양시 동안구 흥안대로133번길 59-2,경기도 안양시 동안구 호계동 995-10
MKT000040,MARKET,안양관양시장,37.4052233,126.9593052,경기도 안양시 동안구 관평로 336번길 31,경기도 안양시 동안구 관양동 1407-8
MKT000041,MARKET,죽산시장,37.07598943,127.4233876,경기도 안성시 죽산면 중서길 8-9,경기도 안성시 죽산면 죽산리 439-3
MKT000042,MARKET,일죽시장,37.09336892,127.4784203,경기도 안성시 일죽면 금일로 467,경기도 안성시 일죽면 송천리 15-18
MKT000043,MARKET,중앙시장,37.00656227,127.2687966,경기도 안성시 장기로45번길 30,경기도 안성시 서인동 81
MKT000044,MARKET,안성맞춤시장,37.00663081,127.2703585,경기도 안성시 시장길 37,경기도 안성시 서인동 13-1
MKT000045,MARKET,안산 다농마트 전통시장,37.32836033,126.8442469,경기도 안산시 상록구 예술광장로 1,경기도 안산시 상록구 월피동 445
MKT000046,MARKET,안산패션타운전통시장,37.30497907,126.8446674,경기도 안산시 상록구 삼리로 45,경기도 안산시 상록구 사동 1530
MKT000047,MARKET,월드프라자,37.30056356,126.8664563,경기도 안산시 상록구 본삼로 60,경기도 안산시 상록구 본오동 872
MKT000048,MARKET,신안프라자전통시장,37.29647214,126.8658207,경기도 안산시 상록구 반석로 54,경기도 안산시 상록구 본오동 871
MKT000049,MARKET,황금시장,36.11666261,128.1252827,경상북도 김천시 황금시장4길20,경상북도 김천시 황금동 31-1
MKT000050,MARKET,스타프라자전통시장,37.32081031,126.8447251,경기도 안산시 상록구 화랑로 513,경기도 안산시 상록구 성포동 583
MKT000051,MARKET,제주시서문공설시장,33.51134646,126.5179035,제주특별자치도 제주시 서문로4길 13-2,제주특별자치도 제주시 용담일동 135-9
MKT000052,MARKET,연풍전통시장,36.76472468,127.9951005,충청북도 괴산군 연풍면 향교로홍문길 5,충청북도 괴산군 연풍면 삼풍리 205-3
MKT000053,MARKET,목도재래시장,36.87204755,127.8530473,충청북도 괴산군 불정면 목도로4길 11,충청북도 괴산군 불정면 목도리 299-3
MKT000054,MARKET,전주남부시장,35.81278651,127.1475386,전북특별차치도 전주시 완산구 풍남문1길 19-3,전북특별차치도 전주시 완산구 전동 295-4
MKT000055,MARKET,홍성전통시장,36.60214738,126.6680243,충청남도 홍성군 홍성읍 홍성천길 242,충청남도 홍성군 홍성읍 대교리 400-1
MKT000056,MARKET,홍성상설시장,36.59973826,126.6637095,충청남도 홍성군 홍성읍 아문길 60,충청남도 홍성군 홍성읍 오관리 397-6
MKT000057,MARKET,광천문화시장,36.50232616,126.6250081,충청남도 홍성군 광천읍 광천로323번길 15-1,충청남도 홍성군 광천읍 광천리 185-27
MKT000058,MARKET,광천전통시장,36.4998307,126.6252434,충청남도 홍성군 광천읍 광천로 285,충청남도 홍성군 광천읍 광천리 230-32
MKT000059,MARKET,갈산전통시장,36.6036997,126.5505509,충청남도 홍성군 갈산면 상촌로 29,충청남도 홍성군 갈산면 상촌리 240-16
MKT000060,MARKET,태안서부시장,36.75299449,126.2968375,충청남도 태안군 태안읍 시장2길 32-7 (남문3리마을회관),충청남도 태안군 태안읍 남문리 164
MKT000061,MARKET,안면도수산시장(안면도장터),36.51635222,126.3460071,충청남도 태안군 안면읍 장터로 104,충청남도 태안군 안면읍 승언리 1249
MKT000062,MARKET,태안동부시장(태안특산물전통시장),36.78114144,126.4582001,충청남도 서산시 시장4길 32,충청남도 서산시 동문동 288-3
MKT000063,MARKET,정산시장,36.41059786,126.9480121,충청남도 청양군 정산면 정현길 54,충청남도 청양군 정산면 서정리 163
MKT000064,MARKET,청양전통시장,36.45048364,126.8018476,충청남도 청양군 청양읍 칠갑산로6길 6,충청남도 청양군 청양읍 읍내리 178-4
MKT000065,MARKET,북부시장,35.94821919,126.9565852,전북특별차치도 익산시 인북로 219,전북특별차치도 익산시 남중동 72-7
MKT000066,MARKET,봉동시장,35.93871982,127.1670778,전북특별차치도 완주군 봉동읍 봉동동서로 134-5,전북특별차치도 완주군 봉동읍 장기리 217-13
MKT000067,MARKET,병천시장,36.76242111,127.2981701,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 163-2
MKT000068,MARKET,천안중앙시장(구 남산중앙시장),36.80032317,127.1484498,충청남도 천안시 동남구 사직2길 19 (남산중앙시장상인회),충청남도 천안시 동남구 사직동 263
MKT000069,MARKET,천안역전시장,36.81006288,127.1498779,충청남도 천안시 동남구 공설시장2길 15,충청남도 천안시 동남구 대흥동 10-12
MKT000070,MARKET,삽교시장,36.68742244,126.7410344,충청남도 예산군 삽교읍 두리3길 50-6,충청남도 예산군 삽교읍 두리 568-62
MKT000071,MARKET,예산시장,36.67723471,126.8494508,충청남도 예산군 예산읍 형제고개로 967,충청남도 예산군 예산읍 예산리 333-1
MKT000072,MARKET,예산상설시장,36.67723471,126.8494508,충청남도 예산군 예산읍 예산시장길 2,충청남도 예산군 예산읍 예산리 333-1
MKT000073,MARKET,역전시장,36.68704166,126.829854,충청남도 예산군 예산읍 역전로 84,충청남도 예산군 예산읍 산성리 356-7
MKT000074,MARKET,덕산시장,36.70498477,126.6681533,충청남도 예산군 덕산면 읍내서길 2-1,충청남도 예산군 덕산면 읍내리 356-4
MKT000075,MARKET,광시시장,36.54911162,126.7744446,충청남도 예산군 광시면 예당로 165-22,충청남도 예산군 광시면 광시리 87-1
MKT000076,MARKET,안산시시민시장,37.32536495,126.8050908,경기도 안산시 단원구 화랑로 149,경기도 안산시 단원구 초지동 604-4
MKT000077,MARKET,안강공설시장,35.99030205,129.2217127,경상북도 경주시 안강읍 비화중로 3길 26-3,경상북도 경주시 안강읍 양월리 1350-1
MKT000078,MARKET,궁평항해오름수산시장,37.11602674,126.6812763,경기도 화성시 서신면 궁평항로 1049-24,경기도 화성시 서신면 궁평리 689
MKT000079,MARKET,오이도전통수산시장,37.34588337,126.6882074,경기도 시흥시 오이도로 167 173,경기도 시흥시 정왕동 2003-8 2003-12
MKT000080,MARKET,정왕시장,37.34580179,126.748564,경기도 시흥시 정왕시장길 51,경기도 시흥시 정왕동 1203
