market_id,시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,개설연도,전화번호,홈페이지주소,좌표보완방법,좌표검색어,좌표매칭시장명,좌표매칭주소
MKT000001,성정시장,상설장,충청남도 천안시 서북구 양지21길 31,충청남도 천안시 서북구 성정동 736-7,매일,36.81267105,127.1392027,66.0,농산물+축산물+가공식품+의류+신발+가정용품+음식점,1988.0,041-579-8258,,,,,
MKT000002,일동전통시장,상설장,경기도 포천시 일동면 화동로 1090-14,경기도 포천시 일동면 기산리 94-10,매일,37.95978103,127.3194792,35.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,1980.0,,,,,,
MKT000003,운천전통시장,상설장+4일장,경기도 포천시 영북면 영북로 177번길 25,경기도 포천시 영북면 운천리 513-15,4일+9일,38.0899666,127.2722253,48.0,농산물,1990.0,031-538-2200,,,,,
MKT000004,통복시장,상설장+5일장,경기도 평택시 통복시장로25번길 10,경기도 평택시 통복동 70-29,5일+10일,36.99782533,127.0850763,594.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,1950.0,031-658-0489,blog.naver.com/tongbokmk,,,,
MKT000005,송탄시장,상설장+4일장,경기도 평택시 탄현로346번길 38,경기도 평택시 지산동 754-28,4일+9일,37.08146214,127.0567273,142.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,1960.0,031-662-3368,,,,,
MKT000006,안중시장,상설장,경기도 평택시 안중읍 안현로서3길 34,경기도 평택시 안중읍 안중리 269-3,1일+6일,36.98766055,126.9276616,115.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,1960.0,031-686-9979,,,,,
MKT000007,평택국제중앙시장,상설장,경기도 평택시 중앙시장로 16,경기도 평택시 신장동 317-70,매일,37.07987834,127.0521939,217.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,1950.0,031-668-8922,,,,,
MKT000008,서정리시장,상설장,경기도 평택시 서정역로 37,경기도 평택시 서정동 328-35,2일+7일,37.05742213,127.0555064,100.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,1950.0,031-666-4676,,,,,
MKT000009,봉일천시장,상설장,경기도 파주시 조리읍 봉천로 33-1,경기도 파주시 조리읍 봉일천리 168-4,2일+7일,37.74353235,126.8078457,139.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,2017.0,031-942-0215,,,,,
MKT000010,전주신중앙시장(신중앙시장),상설장,전북특별차치도 전주시 완산구 태평5길 33,전북특별차치도 전주시 완산구 태평동 41-5,매일,35.8241473,127.1434872,161.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,063-274-7535,,,,,
