관광지ID,좌표정보(X),좌표정보(Y),경도,위도,판정사유,좌표보완방법,좌표검색어
0002fda9b5279ebd1e1fc4ec051e4389,257696.1062,258801.7418,127.6393127,35.8276451,,,
0003fb3d92a9318b27dd79f226b3701d,246477.2666,154477.0469,127.5092406,34.8879732,,,
00047329a5fa4773354535e88bbe15eb,203081.4941,418910.6076,127.0355337,37.2721439,,,
0005f06174e95ee965be009d7cd1afbc,231646.5306,458907.6011,127.3593051,37.6319817,,,
0009cc6fb87d78485bb8e5c2628a24d7,212949.0589,257076.6545,127.1440836,35.8137055,,,
000a0892326f9f1ab49acc3975510880,350800.7191,464344.4343,128.7099708,37.6691339,,,
000a0c94075d70fd383ed0443df6c9ba,194525.4633,272402.7915,126.940122,35.9519005,,,
0010d89adecd8b304567c877874c6d4b,,,126.6588614,37.5935596,,카카오_도로명주소,인천광역시 검단구 원당대로507번안길 16-2
001597a760bdba263d057fee5a16b55d,233119.1559,422606.0068,127.37436,37.3048582,,,
001b191f1fd6cf700fd8a5645c5f9aef,265435.7198,225090.1733,127.7222227,35.5233497,,,
0030e2481857b2b09475c0a6c4e14eee,334177.0317,261922.6738,128.486051,35.8482934,,,
003324809fd0162df44ade309938476e,157395.0699,-1936.567,126.5424403,33.4781162,,,
003e99b9270bb5f0c63c93dbf0a250b3,152064.0719,235948.1968,126.4716688,35.6222009,,,
00407bc1fe5cd7f715e56d3e920a106d,324632.7677,276874.2316,128.3827713,35.9842624,,,
00415ad25b8e95b1ffb3a019ef10bef3,212992.4353,453684.7061,127.1478851,37.585376,,,
00470f98dcbb235a7e865752eb4135f5,244563.5627,351678.0002,127.499263,36.665289,,,
0048cd4939c248fcb7dae7eceef0d77b,183673.3526,455363.0391,126.8159038,37.6004423,,,
004b7888a99fc82c7390dc17158941c2,226658.9561,448379.5286,127.3024205,37.5372844,동일 시군구 + 상호 포함관계 + 유사도 90 이상 + 후보 점수차 10 이상,,
004eec71bfe3cd6b4983b09d01770e26,251210.4815,311366.0341,127.5709447,36.3017001,,,
0050c5f8238d9ab001123bed084634b9,199929.0245,427186.3764,126.999989,37.3467158,,,
0054a443f65b818cb51365e7d607cbdf,286158.7483,440234.2518,127.9746192,37.4602724,,,
00557d99625ed6f7c07a4a2e50d33634,234003.8554,298491.0177,127.3788235,36.1864331,동일 시군구 + 상호 포함관계 + 유사도 90 이상 + 후보 점수차 10 이상,,
005707700751fab0c5a1488b6ca6d8a4,246991.1318,239160.4672,127.5196998,35.6512023,,,
00572ed84c61c2d6c652d922d2441202,246061.8519,367959.4235,127.5170016,36.8119262,,,
0059033924472d8b808a125c434287de,151164.1185,364111.6928,126.4537486,36.7771104,,,
005b9080e8113141c42c747b2493c74a,271320.3217,506140.3485,127.8133838,38.0552621,,,
005e00c791928654db007b96bf05bef7,393263.975,441601.3412,129.1849792,37.4564205,동일 시군구 + 상호 포함관계 + 유사도 90 이상 + 후보 점수차 10 이상,,
0060913603d27d7134fa630a38e2390e,,,127.158016,37.3620325,,카카오_도로명주소,경기도 광주시 새말길 21
0068c616653c94872b7ee248f1e6e816,342862.7642,277096.8267,128.5848867,35.9837708,,,
0069d812575f64a61f58e78fc875e500,299714.8413,292175.0873,128.1084543,36.1249935,,,
006bd1f5636575fa6971e9400c372181,270631.5809,367754.2076,127.7923113,36.808565,,,
00749702851f7306ca27e197e113501e,178411.4421,444684.4053,126.7566331,37.504121,,,
007833088246ad3124a1fbfb7699159e,411322.9684,229231.8974,129.330904,35.540327,,,
007e2a75dfd3c155bd28c223464f1aee,383492.9309,194711.891,129.0164755,35.2349212,동일 시군구 + 상호 포함관계 + 유사도 90 이상 + 후보 점수차 10 이상,,
00805612f996524ecaf468236075b042,338522.0713,526372.4727,128.5827843,38.2296846,,,
008523df073e56a3817e3b55f7cddb83,345088.9974,264051.8345,128.6071849,35.8659223,동일 시군구 + 상호 포함관계 + 유사도 90 이상 + 후보 점수차 10 이상,,
00901e2c042fb05b1cef2f73e61f341c,238043.3741,314275.6662,127.4244962,36.3285287,동일 시군구 + 상호 포함관계 + 유사도 90 이상 + 후보 점수차 10 이상,,
00918da4383d3ea22dd37aa1853a4f17,208044.35,408822.31,127.0913804,37.181215,,,
0098cd262498519a62b7947429a8d962,361252.353,260595.236,128.785369,35.8322603,,,
0098dd264273294e960bff8a58105116,232844.0449,211814.116,127.3623801,35.4053057,,,
009aa062feac73e71fd2c3527346ac64,353382.3699,194263.766,128.6857676,35.2359378,,,
009c5d39b9096a370456027ba2007fef,304395.3874,324649.7242,128.1647698,36.4170988,,,
00a2ee5c68cf0e247c82ad6deb0cb3a2,180283.3521,443436.3707,126.7778368,37.4929183,동일 시군구 + 상호 포함관계 + 유사도 90 이상 + 후보 점수차 10 이상,,
00a54ce00949dde665866e139303c4b0,198996.4108,173598.0599,126.9898077,35.0613865,,,
00a83ccffd95f0789472ac1005061c72,352146.9568,341644.2539,128.7003453,36.5638066,,,
00ad5cdbfb644106680c1037c2c479fe,244969.1168,455006.1848,127.5099903,37.5962779,,,
00aefe715ead49327162765a6c0bbe50,310244.476,204650.0574,128.2133894,35.3351987,,,
00b3f29ddd15d87a4efb90dc03ddfc0e,340324.4653,264545.2176,128.5545378,35.8710606,동일 시군구 + 유사도 90 이상 + 분류호환 + 후보 점수차 10 이상,,
00b56b7ca7d22ce9944d6149c7f8d06a,202730.8044,418201.0232,127.0315772,37.2657514,동일 시군구 + Soft 상호 동일 + 유사도 90 이상,,
00b6e605381808b684fc8327df798272,389193.5307,193001.1837,129.0786675,35.2184536,,,
00bb711597ca16474da61606ea427ba2,315272.8835,270019.0017,128.2780157,35.9236459,,,
00bdfcceb11e78ad737b3a7667694908,344317.2196,264349.4852,128.5986968,35.8687177,,,
00c2091799c38a52b5328a8135305660,387770.1586,185942.7177,129.0614383,35.1551405,,,
00c8bc9d7e2efbc28d5a8cafaf402ef9,232815.0206,413811.7197,127.3705428,37.225631,,,
00cb8a48071cd88e9be8470f67e7e7f5,207789.7534,393203.4453,127.0883525,37.0404822,,,
00cc4235fe145e06b0ce927e803c06f1,386576.3671,188920.372,129.0490173,35.1821845,,,
