시도,시군구,데이터개월수,시작년월,종료년월,데이터구분,신뢰도,최근월방문자수,최근3개월평균방문자수,직전3개월평균방문자수,최근3개월증가율,월평균추세기울기,상대추세기울기,최근3개월전년대비증감률,최근증가점수,장기추세점수,전년대비성장점수,로컬발견가능성,최근월증가율,최근월전년대비증감률,단기증가점수,단기전년대비점수,단기임시점수
강원특별자치도,강릉시,12,202509,202608,12개월,높음,3967026.0,3371082.0,2746172.0,22.755675900853987,82588.41608391603,2.855696182673412,-2.6999999999999997,58.85240336742596,73.63335878109214,16.7450611476952,50.65,,,,,
강원특별자치도,고성군,12,202509,202608,12개월,높음,1795412.0,1492122.3333333333,950124.6666666666,57.04490007276238,49482.96853146854,4.481284630141657,2.9,100.0,96.50282780112832,32.54938852304797,78.72,,,,,
강원특별자치도,동해시,12,202509,202608,12개월,높음,1386556.0,1253910.0,1035927.3333333334,21.042273878927155,29461.5174825175,2.757911423354497,2.566666666666667,56.796294576097814,72.25768123653374,31.608654750705544,53.88,,,,,
강원특별자치도,삼척시,12,202509,202608,12개월,높음,1419716.0,1189974.6666666667,1005637.3333333334,18.33039876536008,29371.734265734245,2.9468168848290275,-7.2,53.54200271077202,74.91528353780242,4.045155221072434,45.1,,,,,
강원특별자치도,속초시,12,202509,202608,12개월,높음,3285426.0,2700390.0,1924331.6666666667,40.32872018770153,64304.63636363628,2.9261487998028874,-1.0999999999999999,79.94032691729606,74.62451613542274,21.26058325493885,60.74,,,,,
강원특별자치도,양구군,12,202509,202608,12개월,높음,309788.0,271613.6666666667,256203.66666666666,6.014746080917407,3174.6853146853086,1.2898059267962143,-5.8999999999999995,38.76302998203091,51.603749287167844,7.714016933207901,33.3,,,,,
강원특별자치도,양양군,12,202509,202608,12개월,높음,2018597.0,1672226.6666666667,1189450.3333333333,40.588187653064416,50542.080419580394,3.8902665496130306,-3.866666666666667,80.25169186829356,88.18813431029955,13.452492944496703,62.59,,,,,
강원특별자치도,영월군,12,202509,202608,12개월,높음,1013800.0,835452.3333333334,710009.3333333334,17.667795916297813,31145.090909090897,4.729867696076081,3.1,52.74686909607959,100.0,33.113828786453425,61.03,,,,,
강원특별자치도,원주시,12,202509,202608,12개월,높음,3265594.0,3025013.6666666665,2962859.3333333335,2.0977821199296343,2035.1258741259055,0.06878811593317269,-1.0333333333333334,34.06261295646587,34.425951892055515,21.448730009407335,30.39,,,,,
강원특별자치도,인제군,12,202509,202608,12개월,높음,1587180.0,1277528.0,856101.3333333334,49.22625981970981,34590.23076923076,3.490896122150349,26.8,90.61751138681687,82.5696214372528,100.0,91.02,,,,,
강원특별자치도,정선군,12,202509,202608,12개월,높음,1157964.0,962007.3333333334,682955.0,40.8595490674105,12175.527972027972,1.4665869631225652,-7.5,80.57732974108932,54.090780023570986,3.19849482596425,49.42,,,,,
강원특별자치도,철원군,12,202509,202608,12개월,높음,594601.0,543970.3333333334,537091.6666666666,1.2807248917782648,-9075.800699300691,-1.6391881059265838,-8.633333333333333,33.08213171019595,10.397416653868682,0.0,16.35,,,,,
강원특별자치도,춘천시,12,202509,202608,12개월,높음,2759162.0,2505022.6666666665,2589040.0,-3.2451153065743865,-3094.402097902035,-0.12367116542170982,-5.0,27.651053830694917,31.7183529426296,10.253998118532452,23.65,,,,,
강원특별자치도,태백시,12,202509,202608,12개월,높음,640563.0,524167.0,379620.6666666667,38.076518489509695,8418.12937062936,1.8752324363956927,-5.166666666666667,77.2376502236566,59.83977818220877,9.783631232361238,51.78,,,,,
강원특별자치도,평창군,12,202509,202608,12개월,높음,2127013.0,1757753.6666666667,1151773.0,52.61285571607137,34954.2937062937,2.42567707618596,-3.6,94.68147857377875,67.58366726836347,14.205079962370649,62.41,,,,,
강원특별자치도,홍천군,12,202509,202608,12개월,높음,2621010.0,2213879.6666666665,1661590.0,33.23862485129705,46546.975524475514,2.510533966723448,-4.0,71.43210341459356,68.77747006162647,13.076199435559735,53.13,,,,,
강원특별자치도,화천군,12,202509,202608,12개월,높음,454842.0,390381.6666666667,332791.6666666667,17.30512082133467,4906.258741258744,1.3890512730671738,-4.433333333333333,52.31165340145184,52.99997498959663,11.853245531514581,40.38,,,,,
강원특별자치도,횡성군,12,202509,202608,12개월,높음,1297821.0,1090037.6666666667,890665.6666666666,22.38460597074025,18327.19230769232,1.9389191654908722,-4.6,58.407113741441755,60.735750148728364,11.382878645343366,45.0,,,,,
경기도,가평군,2,202607,202608,2개월,낮음,3226482.0,,,,,,,,,,,24.031871352110628,-2.9,80.77363619501068,79.72085385878489,80.25
경기도,고양시,2,202607,202608,2개월,낮음,12419799.0,,,,,,,,,,,1.2903473630074813,-2.6,25.177357683040068,79.96715927750411,52.57
경기도,고양시+덕양구,2,202607,202608,2개월,낮음,5402450.0,,,,,,,,,,,1.293721699837816,-1.2,25.185606935390197,81.11658456486043,53.15
