관광지ID,업소명,분류,맛집시도,맛집시군구,현지인순위,외지인순위,원본맛집파일,표준시도,표준시군구,표준구
0002fda9b5279ebd1e1fc4ec051e4389,그린가든,한식,전북특별자치도,무주군,16.0,23.0,무주군_현지인외지인맛집_최종.csv,전북특별자치도,무주군,
0003fb3d92a9318b27dd79f226b3701d,순천만487카페,카페/찻집,전라남도,순천시,,53.0,순천시_현지인외지인맛집_최종.csv,전라남도,순천시,
00047329a5fa4773354535e88bbe15eb,길림성인계점 [중식],외국식,경기도,수원시 팔달구,28.0,24.0,수원시+팔달구_현지인외지인맛집_최종.csv,경기도,수원시,팔달구
0005f06174e95ee965be009d7cd1afbc,앤드유서종제빵소,카페/찻집,경기도,양평군,97.0,49.0,양평군_현지인외지인맛집_최종.csv,경기도,양평군,
0009cc6fb87d78485bb8e5c2628a24d7,노벨반점[중식],외국식,전북특별자치도,전주시 완산구,,56.0,전주시+완산구_현지인외지인맛집_최종.csv,전북특별자치도,전주시,완산구
000a0892326f9f1ab49acc3975510880,고향이야기,한식,강원특별자치도,평창군,30.0,38.0,평창군_현지인외지인맛집_최종.csv,강원특별자치도,평창군,
000a0c94075d70fd383ed0443df6c9ba,토마레제면소,외국식,전북특별자치도,익산시,28.0,12.0,익산시_현지인외지인맛집_최종.csv,전북특별자치도,익산시,
0010d89adecd8b304567c877874c6d4b,불타는풍천장어,전문음식,인천광역시,검단구,76.0,71.0,검단구_현지인외지인맛집_최종.csv,인천광역시,검단구,
001597a760bdba263d057fee5a16b55d,호운[한식],한식,경기도,이천시,7.0,11.0,이천시_현지인외지인맛집_최종.csv,경기도,이천시,
001b191f1fd6cf700fd8a5645c5f9aef,함양기찬면옥,한식,경상남도,함양군,46.0,34.0,함양군_현지인외지인맛집_최종.csv,경상남도,함양군,
0030e2481857b2b09475c0a6c4e14eee,핸즈커피호산점,카페/찻집,대구광역시,달서구,57.0,57.0,달서구_현지인외지인맛집_최종.csv,대구광역시,달서구,
003324809fd0162df44ade309938476e,광육,한식,제주특별자치도,제주시,100.0,,제주시_현지인외지인맛집_최종.csv,제주특별자치도,제주시,
003e99b9270bb5f0c63c93dbf0a250b3,갯마을맛집,한식,전북특별자치도,부안군,82.0,79.0,부안군_현지인외지인맛집_최종.csv,전북특별자치도,부안군,
00407bc1fe5cd7f715e56d3e920a106d,천수제면소,한식,경상북도,칠곡군,24.0,34.0,칠곡군_현지인외지인맛집_최종.csv,경상북도,칠곡군,
00415ad25b8e95b1ffb3a019ef10bef3,강경불고기구리점,한식,경기도,구리시,98.0,100.0,구리시_현지인외지인맛집_최종.csv,경기도,구리시,
00470f98dcbb235a7e865752eb4135f5,이안테라스,카페/찻집,충청북도,청주시 청원구,17.0,18.0,청주시+청원구_현지인외지인맛집_최종.csv,충청북도,청주시,청원구
0048cd4939c248fcb7dae7eceef0d77b,대대리135,카페/찻집,경기도,고양시 덕양구,35.0,12.0,고양시+덕양구_현지인외지인맛집_최종.csv,경기도,고양시,덕양구
004b7888a99fc82c7390dc17158941c2,기와집순두부조안본점,한식,경기도,남양주시,80.0,17.0,남양주시_현지인외지인맛집_최종.csv,경기도,남양주시,
004eec71bfe3cd6b4983b09d01770e26,미락올갱이,한식,충청북도,옥천군,,92.0,옥천군_현지인외지인맛집_최종.csv,충청북도,옥천군,
0050c5f8238d9ab001123bed084634b9,푼푼,전문음식,경기도,의왕시,79.0,91.0,의왕시_현지인외지인맛집_최종.csv,경기도,의왕시,
0054a443f65b818cb51365e7d607cbdf,박현자네더덕밥,한식,강원특별자치도,횡성군,62.0,41.0,횡성군_현지인외지인맛집_최종.csv,강원특별자치도,횡성군,
00557d99625ed6f7c07a4a2e50d33634,황제장어나라금산점,전문음식,충청남도,금산군,,93.0,금산군_현지인외지인맛집_최종.csv,충청남도,금산군,
005707700751fab0c5a1488b6ca6d8a4,토담골,한식,전북특별자치도,장수군,91.0,,장수군_현지인외지인맛집_최종.csv,전북특별자치도,장수군,
00572ed84c61c2d6c652d922d2441202,산야초밥상,한식,충청북도,진천군,,96.0,진천군_현지인외지인맛집_최종.csv,충청북도,진천군,
0059033924472d8b808a125c434287de,화룡[중식],외국식,충청남도,서산시,40.0,53.0,서산시_현지인외지인맛집_최종.csv,충청남도,서산시,
005b9080e8113141c42c747b2493c74a,월남가든,한식,강원특별자치도,화천군,83.0,70.0,화천군_현지인외지인맛집_최종.csv,강원특별자치도,화천군,
005e00c791928654db007b96bf05bef7,장수돌짜장[중식],외국식,강원특별자치도,삼척시,53.0,49.0,삼척시_현지인외지인맛집_최종.csv,강원특별자치도,삼척시,
0060913603d27d7134fa630a38e2390e,숙아채콩나물국밥,한식,경기도,광주시,60.0,18.0,광주시_현지인외지인맛집_최종.csv,경기도,광주시,
0068c616653c94872b7ee248f1e6e816,포춘황토오리가마구이,전문음식,경상북도,칠곡군,50.0,29.0,칠곡군_현지인외지인맛집_최종.csv,경상북도,칠곡군,
0069d812575f64a61f58e78fc875e500,홍천뚝배기식당,한식,경상북도,김천시,81.0,,김천시_현지인외지인맛집_최종.csv,경상북도,김천시,
006bd1f5636575fa6971e9400c372181,털보왕돈까스,전문음식,충청북도,괴산군,29.0,16.0,괴산군_현지인외지인맛집_최종.csv,충청북도,괴산군,
00749702851f7306ca27e197e113501e,고메스퀘어부천소풍터미널점,전문음식,경기도,부천시 원미구,22.0,8.0,부천시+원미구_현지인외지인맛집_최종.csv,경기도,부천시,원미구
007833088246ad3124a1fbfb7699159e,선농설렁탕,한식,울산광역시,남구,55.0,51.0,남구_현지인외지인맛집_최종.csv,울산광역시,남구,
007e2a75dfd3c155bd28c223464f1aee,봉평막국수화명점,한식,부산광역시,북구,56.0,75.0,북구_현지인외지인맛집_최종.csv,부산광역시,북구,
00805612f996524ecaf468236075b042,써니스비스트로,전문음식,강원특별자치도,고성군,86.0,,고성군_현지인외지인맛집_최종.csv,강원특별자치도,고성군,
