market_id,사용가능상품권,공중화장실보유여부,주차장보유여부
MKT000001,,Y,Y
MKT000002,,Y,Y
MKT000003,,Y,Y
MKT000004,,Y,Y
MKT000005,,Y,Y
MKT000006,,Y,Y
MKT000007,,Y,Y
MKT000008,,Y,Y
MKT000009,,Y,Y
MKT000010,,Y,Y
MKT000011,,Y,Y
MKT000012,,Y,Y
MKT000013,,Y,Y
MKT000014,,Y,Y
MKT000015,,Y,Y
MKT000016,,Y,Y
MKT000017,,Y,Y
MKT000018,,Y,Y
MKT000019,,Y,Y
MKT000020,,Y,Y
MKT000021,,Y,Y
MKT000022,,Y,Y
MKT000023,,Y,N
MKT000024,,Y,Y
MKT000025,,Y,Y
MKT000026,,Y,Y
MKT000027,,Y,Y
MKT000028,,Y,Y
MKT000029,,Y,Y
MKT000030,,Y,Y
MKT000031,,Y,Y
MKT000032,,Y,Y
MKT000033,,Y,Y
MKT000034,,N,N
MKT000035,,Y,Y
MKT000036,,Y,Y
MKT000037,,Y,Y
MKT000038,,Y,Y
MKT000039,,Y,Y
MKT000040,,Y,N
MKT000041,,Y,Y
MKT000042,,Y,Y
MKT000043,,Y,Y
MKT000044,,Y,Y
MKT000045,,Y,Y
MKT000046,,Y,Y
MKT000047,,Y,Y
MKT000048,,Y,Y
MKT000049,,Y,Y
MKT000050,,Y,Y
MKT000051,,Y,Y
MKT000052,,Y,Y
MKT000053,,Y,Y
MKT000054,,Y,Y
MKT000055,,Y,Y
MKT000056,,Y,Y
MKT000057,,Y,N
MKT000058,,Y,Y
MKT000059,,Y,Y
MKT000060,,Y,Y
MKT000061,,Y,Y
MKT000062,,Y,Y
MKT000063,,Y,Y
MKT000064,,Y,Y
MKT000065,,Y,Y
MKT000066,,Y,Y
MKT000067,,Y,Y
MKT000068,,Y,Y
MKT000069,,Y,Y
MKT000070,,Y,Y
MKT000071,,Y,Y
MKT000072,,Y,Y
MKT000073,,Y,Y
MKT000074,,Y,Y
MKT000075,,Y,Y
MKT000076,,Y,Y
MKT000077,,Y,Y
MKT000078,,Y,Y
MKT000079,,Y,Y
MKT000080,,Y,Y
MKT000081,,Y,Y
MKT000082,,Y,Y
MKT000083,,Y,Y
MKT000084,,Y,Y
MKT000085,,N,N
MKT000086,,Y,Y
MKT000087,,Y,Y
MKT000088,,Y,Y
MKT000089,,N,N
MKT000090,,Y,Y
MKT000091,,Y,Y
MKT000092,,Y,Y
MKT000093,,Y,Y
MKT000094,,Y,N
MKT000095,,N,Y
MKT000096,,Y,N
MKT000097,,Y,Y
MKT000098,,Y,Y
MKT000099,,Y,Y
MKT000100,,Y,Y
MKT000101,,Y,Y
MKT000102,,N,Y
MKT000103,,Y,Y
MKT000104,,Y,Y
MKT000105,,Y,Y
MKT000106,,Y,Y
MKT000107,,Y,Y
MKT000108,,Y,Y
MKT000109,,Y,Y
MKT000110,,Y,Y
MKT000111,,Y,Y
MKT000112,,Y,Y
MKT000113,,Y,Y
MKT000114,,Y,Y
MKT000115,,Y,Y
MKT000116,,Y,Y
MKT000117,,Y,Y
MKT000118,,Y,Y
MKT000119,,Y,Y
MKT000120,,Y,Y
MKT000121,,Y,Y
MKT000122,,Y,Y
MKT000123,,Y,Y
MKT000124,,Y,Y
MKT000125,,Y,Y
MKT000126,,Y,Y
MKT000127,,Y,Y
MKT000128,,Y,Y
MKT000129,,Y,Y
MKT000130,,N,Y
MKT000131,,Y,Y
MKT000132,,Y,Y
MKT000133,,Y,Y
MKT000134,,Y,Y
MKT000135,,Y,Y
MKT000136,,Y,Y
MKT000137,,Y,Y
MKT000138,,Y,Y
MKT000139,,Y,Y
MKT000140,,Y,Y
MKT000141,,Y,Y
MKT000142,,Y,Y
MKT000143,,Y,Y
MKT000144,,Y,Y
MKT000145,,Y,N
MKT000146,,Y,Y
MKT000147,,Y,Y
MKT000148,,Y,Y
MKT000149,,Y,Y
MKT000150,,Y,Y
MKT000151,,Y,Y
MKT000152,,Y,Y
MKT000153,,Y,Y
MKT000154,,Y,Y
MKT000155,,N,Y
MKT000156,,Y,Y
MKT000157,,Y,N
MKT000158,,Y,N
MKT000159,,N,N
MKT000160,,N,Y
MKT000161,,N,N
MKT000162,,Y,Y
MKT000163,,Y,Y
MKT000164,,Y,N
MKT000165,,Y,N
MKT000166,,Y,Y
MKT000167,,Y,Y
MKT000168,,Y,N
MKT000169,,Y,Y
MKT000170,,Y,Y
MKT000171,,Y,Y
MKT000172,,Y,Y
MKT000173,,Y,Y
MKT000174,,Y,N
MKT000175,,Y,Y
MKT000176,,Y,N
MKT000177,,N,N
MKT000178,,Y,N
MKT000179,,Y,Y
MKT000180,,Y,Y
MKT000181,,Y,Y
MKT000182,,Y,Y
MKT000183,,Y,Y
MKT000184,,Y,Y
MKT000185,,Y,Y
MKT000186,,Y,Y
MKT000187,,Y,Y
MKT000188,,Y,Y
MKT000189,,N,Y
MKT000190,,Y,Y
MKT000191,,Y,Y
MKT000192,,Y,Y
MKT000193,,Y,Y
MKT000194,,Y,Y
MKT000195,,Y,Y
MKT000196,,Y,N
MKT000197,,Y,Y
MKT000198,,Y,Y
MKT000199,,Y,Y
MKT000200,,Y,Y
MKT000201,,Y,Y
MKT000202,,Y,Y
MKT000203,,Y,Y
MKT000204,,Y,Y
MKT000205,,N,Y
MKT000206,,Y,Y
MKT000207,,Y,Y
MKT000208,,Y,Y
MKT000209,,Y,Y
MKT000210,,Y,Y
MKT000211,,Y,Y
MKT000212,,N,N
MKT000213,,Y,Y
MKT000214,,Y,Y
MKT000215,,Y,Y
MKT000216,,Y,Y
MKT000217,,Y,Y
MKT000218,,Y,N
MKT000219,,Y,Y
MKT000220,,Y,N
MKT000221,,Y,Y
MKT000222,,Y,Y
MKT000223,,Y,Y
MKT000224,,Y,Y
MKT000225,,Y,N
MKT000226,,Y,Y
MKT000227,,Y,Y
MKT000228,,Y,Y
MKT000229,,Y,Y
MKT000230,,Y,Y
MKT000231,,Y,Y
MKT000232,,Y,Y
MKT000233,,Y,Y
MKT000234,,Y,Y
MKT000235,,Y,Y
MKT000236,,Y,Y
MKT000237,,Y,Y
MKT000238,,Y,Y
MKT000239,,N,Y
MKT000240,,Y,Y
MKT000241,,Y,Y
MKT000242,,Y,Y
MKT000243,,Y,Y
MKT000244,,Y,Y
MKT000245,,Y,Y
MKT000246,,Y,Y
MKT000247,,Y,Y
MKT000248,,Y,Y
MKT000249,,Y,Y
MKT000250,,Y,N
MKT000251,,Y,Y
MKT000252,,Y,Y
MKT000253,,Y,Y
MKT000254,,Y,N
MKT000255,,Y,Y
MKT000256,,Y,Y
MKT000257,,Y,N
MKT000258,,Y,Y
MKT000259,,Y,Y
MKT000260,,Y,Y
MKT000261,,Y,Y
MKT000262,,N,N
MKT000263,,Y,Y
MKT000264,,Y,Y
MKT000265,,Y,Y
MKT000266,,Y,Y
MKT000267,,N,Y
MKT000268,,N,N
MKT000269,,Y,Y
MKT000270,,Y,Y
MKT000271,,Y,Y
MKT000272,,Y,Y
MKT000273,,Y,Y
MKT000274,,Y,Y
MKT000275,,Y,Y
MKT000276,,Y,Y
MKT000277,,Y,Y
MKT000278,,Y,Y
MKT000279,,Y,Y
MKT000280,,Y,N
MKT000281,,Y,Y
MKT000282,,N,Y
MKT000283,,Y,N
MKT000284,,Y,Y
MKT000285,,Y,Y
MKT000286,,Y,Y
MKT000287,,Y,Y
MKT000288,,Y,Y
MKT000289,,Y,Y
MKT000290,,Y,Y
MKT000291,,Y,N
MKT000292,,Y,Y
MKT000293,,Y,Y
MKT000294,,Y,Y
MKT000295,,Y,Y
MKT000296,,Y,Y
MKT000297,,Y,Y
MKT000298,,Y,Y
MKT000299,,Y,Y
MKT000300,,Y,Y
MKT000301,,Y,Y
